latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,days_since_last_review,has_been_reviewed,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Private room,room_type_Shared room
40.73022,-73.98893,30.0,5,0.11,1,301,181,1,False,True,False,False,False,False
40.7281,-73.97952,5.0,3,0.07,1,0,541,1,False,True,False,False,False,False
40.81928,-73.90933,2.0,47,1.22,4,249,59,1,False,False,False,False,True,False
40.69025,-73.92491,1.0,0,0.0,1,179,18085,0,True,False,False,False,True,False
40.63612,-73.946,2.0,19,0.31,4,328,193,1,True,False,False,False,False,False
40.7773,-73.97736,2.0,9,1.32,1,286,15,1,False,True,False,False,False,False
40.72963,-73.94937,1.0,0,0.0,1,0,18085,0,True,False,False,False,True,False
40.74819,-73.97201,6.0,2,0.09,1,341,622,1,False,True,False,False,False,False
40.69286,-73.96993,4.0,45,1.01,1,190,186,1,True,False,False,False,False,False
40.62915,-73.9198,2.0,64,4.92,1,194,11,1,True,False,False,False,False,False
40.68064,-73.88285,2.0,5,0.49,3,365,50,1,True,False,False,False,True,False
40.68322,-73.93073,5.0,47,1.53,2,91,37,1,True,False,False,False,False,False
40.71018,-73.94057,3.0,2,0.17,1,36,344,1,True,False,False,False,True,False
40.76506,-73.93234,15.0,1,0.06,1,0,491,1,False,False,True,False,False,False
40.7889,-73.9729,5.0,3,0.08,1,9,189,1,False,True,False,False,False,False
40.73674,-73.98308,3.0,52,3.2,1,3,38,1,False,True,False,False,False,False
40.75709,-73.96327,3.0,98,2.66,1,278,5,1,False,True,False,False,True,False
40.68266,-73.94321,1.0,3,0.13,1,0,668,1,True,False,False,False,False,False
40.7867,-73.96951,2.0,0,0.0,1,5,18085,0,False,True,False,False,False,False
40.68754,-73.91231,7.0,4,0.92,1,95,32,1,True,False,False,False,True,False
40.86066,-73.89883,1.0,0,0.0,1,363,18085,0,False,False,False,False,True,False
40.71286,-73.98437,2.0,6,0.13,4,0,1283,1,False,True,False,False,True,False
40.83155,-73.94804,1.0,52,1.39,4,355,19,1,False,True,False,False,True,False
40.68389,-73.96026,1.0,15,0.43,1,179,55,1,True,False,False,False,True,False
40.65892,-73.98386,2.0,26,1.6,1,74,15,1,True,False,False,False,True,False
40.72345,-74.01001,4.0,3,0.16,1,0,427,1,False,True,False,False,False,False
40.74606,-73.95765,30.0,1,0.02,1,0,1799,1,False,False,True,False,False,False
40.78111,-73.97739,14.0,88,1.03,1,176,10,1,False,True,False,False,True,False
40.75685,-73.96388,2.0,4,0.22,1,0,190,1,False,True,False,False,False,False
40.72807,-73.98594,3.0,0,0.0,1,0,18085,0,False,True,False,False,False,False
40.71711,-73.8347,1.0,34,1.67,1,93,14,1,False,False,True,False,True,False
40.86699,-73.92689,1.0,17,1.68,1,64,2,1,False,True,False,False,False,False
40.76014,-73.96098,1.0,25,1.67,11,330,11,1,False,True,False,False,False,False
40.73226,-73.95285,1.0,2,0.05,1,0,1284,1,True,False,False,False,True,False
40.84819,-73.90648,2.0,41,0.81,2,342,50,1,False,False,False,False,False,False
40.74588,-73.83284,1.0,14,2.76,6,121,6,1,False,False,True,False,True,False
40.62139,-74.0319,1.0,1,0.09,1,0,347,1,True,False,False,False,False,False
40.70468,-73.92443,5.0,0,0.0,3,0,18085,0,True,False,False,False,True,False
40.79154,-73.94233,1.0,186,6.38,4,199,10,1,False,True,False,False,True,False
40.71239,-73.96178,5.0,0,0.0,1,0,18085,0,True,False,False,False,True,False
40.61295,-73.95366,1.0,10,0.3,1,0,71,1,True,False,False,False,True,False
40.72564,-73.98088,1.0,0,0.0,1,0,18085,0,False,True,False,False,True,False
40.81509,-73.96019,4.0,4,0.07,1,0,1500,1,False,True,False,False,False,False
40.72167,-73.98066,1.0,3,0.38,1,365,189,1,False,True,False,False,True,False
40.80872,-73.94228,1.0,2,0.07,3,0,465,1,False,True,False,False,False,False
40.71193,-73.95956,3.0,32,3.58,2,141,2,1,True,False,False,False,False,False
40.74796,-73.97018,3.0,0,0.0,1,0,18085,0,False,True,False,False,False,False
40.67603,-73.96941,4.0,2,0.04,1,0,1360,1,True,False,False,False,False,False
40.77943,-73.9117,2.0,80,2.35,1,350,6,1,False,False,True,False,True,False
40.68194,-73.93567,30.0,0,0.0,2,45,18085,0,True,False,False,False,False,False
40.70721,-73.95341,2.0,17,0.59,1,3,364,1,True,False,False,False,False,False
40.72272,-73.98379,30.0,0,0.0,232,330,18085,0,False,True,False,False,False,False
40.67293,-73.93273,2.0,53,2.3,1,8,36,1,True,False,False,False,True,False
40.64434,-73.95288,3.0,0,0.0,2,311,18085,0,True,False,False,False,True,False
40.75659,-73.93108,2.0,1,1.0,1,266,4,1,False,False,True,False,False,False
40.80652,-73.94937,1.0,33,4.25,1,19,7,1,False,True,False,False,True,False
40.66209,-73.92913,1.0,23,0.74,2,364,191,1,True,False,False,False,False,True
40.6837,-73.93325,2.0,4,0.12,1,0,917,1,True,False,False,False,False,False
40.704,-73.91492,2.0,19,1.47,1,198,35,1,True,False,False,False,True,False
40.62477,-73.95517,1.0,0,0.0,3,330,18085,0,True,False,False,False,True,False
40.79874,-73.96034,3.0,18,0.39,1,0,646,1,False,True,False,False,False,False
40.71064,-73.87463,1.0,4,0.34,1,0,302,1,False,False,True,False,False,False
40.68946,-73.97279,3.0,1,0.14,1,125,212,1,True,False,False,False,False,False
40.68593,-73.95702,7.0,6,0.45,1,0,15,1,True,False,False,False,True,False
40.72104,-73.99498,2.0,123,3.79,3,59,31,1,False,True,False,False,True,False
40.70742,-73.94185,3.0,0,0.0,1,0,18085,0,True,False,False,False,False,False
40.71801,-73.95244,1.0,2,1.09,1,249,37,1,True,False,False,False,True,False
40.86429,-73.90204,1.0,0,0.0,1,83,18085,0,False,False,False,False,True,False
40.69169,-73.93142,4.0,34,0.73,2,340,71,1,True,False,False,False,False,False
40.73822,-74.00606,2.0,11,0.21,1,0,355,1,False,True,False,False,False,False
40.68792,-73.83752,1.0,22,0.49,1,130,84,1,False,False,True,False,False,False
40.67878,-73.9172,1.0,22,9.85,2,236,1,1,True,False,False,False,True,False
40.80569,-73.94848,3.0,38,3.21,3,302,7,1,False,True,False,False,False,False
40.75525,-73.99597,3.0,4,0.38,1,108,104,1,False,True,False,False,False,False
40.85415,-73.93108,2.0,9,0.2,1,0,1269,1,False,True,False,False,True,False
40.7036,-73.92496,1.0,4,2.31,1,71,36,1,True,False,False,False,True,False
40.63747,-74.01153,3.0,5,0.11,1,281,35,1,True,False,False,False,True,False
40.66949,-73.92172,1.0,6,1.91,2,323,40,1,True,False,False,False,True,False
40.73485,-74.00313,30.0,0,0.0,65,326,18085,0,False,True,False,False,False,False
40.69456,-73.96439,1.0,3,0.63,1,0,39,1,True,False,False,False,True,False
40.72133,-73.83928,2.0,35,3.85,5,235,36,1,False,False,True,False,True,False
40.66588,-73.97833,14.0,1,0.03,2,0,1193,1,True,False,False,False,True,False
40.76283,-73.99331,2.0,30,0.8,3,3,6,1,False,True,False,False,True,False
40.70964,-74.01798,1.0,0,0.0,1,43,18085,0,False,True,False,False,False,False
40.64933,-73.96478,5.0,4,0.11,1,0,323,1,True,False,False,False,False,False
40.7617,-73.99762,30.0,2,0.08,121,365,659,1,False,True,False,False,False,False
40.58438,-73.95564,1.0,4,1.85,1,341,15,1,True,False,False,False,True,False
40.63573,-74.00552,1.0,1,0.26,7,350,112,1,True,False,False,False,True,False
40.74286,-73.89163,1.0,57,4.37,2,295,15,1,False,False,True,False,True,False
40.79663,-73.94893,1.0,5,0.13,1,0,1052,1,False,True,False,False,True,False
40.71258,-73.94307,1.0,15,2.02,1,16,42,1,True,False,False,False,False,False
40.58634,-73.81867,1.0,144,4.13,2,134,1,1,False,False,True,False,False,False
40.77305,-73.96283,3.0,48,1.53,1,0,19,1,False,True,False,False,False,True
40.68535,-73.96736,3.0,4,0.62,1,0,59,1,True,False,False,False,True,False
40.64189,-73.96066,3.0,4,0.12,1,69,108,1,True,False,False,False,False,False
40.66045,-73.89873,4.0,121,2.54,2,33,14,1,True,False,False,False,False,False
40.85911,-73.93087,2.0,6,5.0,1,29,8,1,False,True,False,False,True,False
40.69499,-73.94822,5.0,42,1.58,3,63,36,1,True,False,False,False,True,False
40.68457,-73.9262,2.0,5,0.13,2,0,1041,1,True,False,False,False,False,False
40.69633,-73.93369,3.0,0,0.0,2,0,18085,0,True,False,False,False,False,False
40.72131,-73.99487,3.0,17,0.22,1,0,392,1,False,True,False,False,False,False
40.74612,-73.9796,4.0,0,0.0,1,78,18085,0,False,True,False,False,False,False
40.71457,-73.9958,1.0,71,5.5,3,91,27,1,False,True,False,False,True,False
